entry_below_yh_pips,buy_tp_above_yh_pips,sell_buy_ratio,buy_size,sell_size,trade_days,filled_days,filled_day_rate,buy_wins,buy_losses,sell_wins,sell_losses,sell_time_exits,weighted_buy_pips,weighted_sell_pips,weighted_total_pips,cal_ppd_weighted
50,150,1.0,100.0,100.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-217570.0,962140.0,136.4544
50,150,1.1,100.0,110.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-239327.0,940383.0,133.3687
50,125,1.0,100.0,100.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-217570.0,920840.0,130.5971
50,150,1.2,100.0,120.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-261084.0,918626.0,130.2831
50,30,1.0,100.0,100.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-217570.0,918090.0,130.2071
50,150,1.27,100.0,127.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-276313.9,903396.1,128.1231
50,20,1.0,100.0,100.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-217570.0,901270.0,127.8216
50,125,1.1,100.0,110.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-239327.0,899083.0,127.5114
50,150,1.3,100.0,130.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-282841.0,896869.0,127.1974
50,30,1.1,100.0,110.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-239327.0,896333.0,127.1214
50,100,1.0,100.0,100.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-217570.0,884120.0,125.3893
50,20,1.1,100.0,110.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-239327.0,879513.0,124.7359
50,125,1.2,100.0,120.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-261084.0,877326.0,124.4258
50,150,1.4,100.0,140.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-304598.0,875112.0,124.1118
50,30,1.2,100.0,120.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-261084.0,874576.0,124.0357
50,40,1.0,100.0,100.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-217570.0,873920.0,123.9427
50,100,1.1,100.0,110.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-239327.0,862363.0,122.3036
50,125,1.27,100.0,127.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-276313.9,862096.1,122.2658
50,30,1.27,100.0,127.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-276313.9,859346.1,121.8758
50,20,1.2,100.0,120.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-261084.0,857756.0,121.6503
50,125,1.3,100.0,130.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-282841.0,855569.0,121.3401
50,150,1.5,100.0,150.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-326355.0,853355.0,121.0261
50,30,1.3,100.0,130.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-282841.0,852819.0,120.9501
50,40,1.1,100.0,110.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-239327.0,852163.0,120.857
50,75,1.0,100.0,100.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-217570.0,842700.0,119.515
50,20,1.27,100.0,127.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-276313.9,842526.1,119.4903
50,50,1.0,100.0,100.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-217570.0,841340.0,119.3221
50,100,1.2,100.0,120.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-261084.0,840606.0,119.218
50,20,1.3,100.0,130.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-282841.0,835999.0,118.5646
50,125,1.4,100.0,140.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-304598.0,833812.0,118.2544
50,150,1.6,100.0,160.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1179710.0,-348112.0,831598.0,117.9404
50,30,1.4,100.0,140.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-304598.0,831062.0,117.8644
50,40,1.2,100.0,120.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-261084.0,830406.0,117.7714
50,100,1.27,100.0,127.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-276313.9,825376.1,117.058
50,75,1.1,100.0,110.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-239327.0,820943.0,116.4293
50,50,1.1,100.0,110.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-239327.0,819583.0,116.2364
50,100,1.3,100.0,130.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-282841.0,818849.0,116.1323
50,40,1.27,100.0,127.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-276313.9,815176.1,115.6114
50,20,1.4,100.0,140.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-304598.0,814242.0,115.4789
50,125,1.5,100.0,150.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-326355.0,812055.0,115.1688
50,30,1.5,100.0,150.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-326355.0,809305.0,114.7788
50,40,1.3,100.0,130.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-282841.0,808649.0,114.6857
50,75,1.2,100.0,120.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-261084.0,799186.0,113.3436
50,50,1.2,100.0,120.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-261084.0,797826.0,113.1508
50,100,1.4,100.0,140.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-304598.0,797092.0,113.0467
50,20,1.5,100.0,150.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-326355.0,792485.0,112.3933
50,125,1.6,100.0,160.0,7051,3269,0.463622,1075,2184,1565,1694,3246,1138410.0,-348112.0,790298.0,112.0831
50,30,1.6,100.0,160.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-348112.0,787548.0,111.6931
50,40,1.4,100.0,140.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-304598.0,786892.0,111.6001
50,75,1.27,100.0,127.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-276313.9,783956.1,111.1837
50,50,1.27,100.0,127.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-276313.9,782596.1,110.9908
50,75,1.3,100.0,130.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-282841.0,777429.0,110.258
50,10,1.0,100.0,100.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-217570.0,776850.0,110.1759
50,50,1.3,100.0,130.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-282841.0,776069.0,110.0651
50,100,1.5,100.0,150.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-326355.0,775335.0,109.961
50,20,1.6,100.0,160.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-348112.0,770728.0,109.3076
50,40,1.5,100.0,150.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-326355.0,765135.0,108.5144
